quan_cu,phuong_xa,duong_pho,ngo,dien_tich_thuc_te_m,dien_tich_tren_so_m,so_tang,hinh_so_o_thua_at,hien_trang_nha,ket_cau_nha,noi_that,co_thang_may_khong,so_phong_ngu,so_phong_ve_sinh,o_rong_mat_tien_tren_so_m,o_rong_mat_tien_thuc_te_m,chieu_sau_m,o_rong_uong_truoc_nha_m,co_via_he_neu_co_thi_ien_so_met,khoang_cach_ra_uong_o_to,khoang_cach_ra_uong_o_to_tranh,khoang_cach_ra_mat_pho,o_rong_uong_nho_nhat_khi_i_vao_nha,vi_tri_so_may_theo_quy_inh_nha_nuoc,ngo_thong_hay_ngo_cut,nha_nam_cuoi_ngo_cut,nha_may_mat_thoang,o_rong_mat_thoang_ben_canh_neu_co_thi_ien_so_met,o_rong_mat_thoang_ang_sau_nha_neu_co_thi_ien_so_met,khu_vuc_thuan_e_o_khong_kinh_doanh_buon_ban,khu_vuc_doanh_doanh_sam_uat,khu_vuc_kinh_doanh_nho,khu_vuc_kinh_doanh_van_phong,nha_ang_cho_thue,dong_tien_ang_cho_thue_bao_nhieu_1_nam,gan_truong_hoc_mam_non,gan_truong_hoc_cap_1,gan_truong_hoc_cap_2,gan_truong_hoc_cap_3,gan_truong_ai_hoc,gan_cong_vien,gan_benh_vien,gan_cho,gan_trung_tam_thuong_mai_khu_o_thi,khu_dan_tri_thap,khu_dan_tri_cao,gan_bai_o_xe_o_to,ha_tang_xay_dung_xung_quanh,cot_ien_truoc_nha,tram_ien_bien_ap_truoc_nha,cay_truoc_to_truoc_nha,nha_khuat_mat_tien,canh_nha_tang_le,mo_nghia_trang,nam_duoi_chan_cau_hoac_uong_ien_cao_the,nha_nam_trong_quy_hoach,at_dinh_tranh_chap_di_chuc_chua_ro_rang,at_khong_so,loai_at_neu_khac_thi_ien_bao_nhieu_at_o_bao_nhieu_at_nong_nghiep_at_trong_cay_lau_nam,gia_tri_tuong_lai,ngay_gia_chao_cuoi,gia_chot,gia_hien_tai
thanh xuân,,hoàng văn thái,,42,41.8,4,nở hậu,xây 5–10 năm,nhà khung cột,chỉ có nội thất liền tường,0,0,0,3.94,4,10,4,0,0,5,500,4,2,1,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,0,0,0,0,1,0,0,1,1,0,1,không có,xung quanh đồng bộ xây nhà cao tầng,nhỏ,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,23/07/2025,11500000000,10073924943
thanh xuân,thanh xuân bắc,khuất duy tiến,,32.7,32.7,6,nở hậu,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,4,4,3.2,3.2,10,2,0,50,50,150,2,3,0,0,lô góc 2 mặt thoáng,0,0,1,0,0,0,không,0,1,1,1,1,1,0,0,1,1,0,0,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,22/05/2025,7165000000,"6,921,406,799.78"
thanh xuân,khương đình,khương đình,,23.8,22,4,vuông,xây 5–10 năm,,nội thất cơ bản,0,2,2,3.35,3.4,6.5,1,0,100,100,100,1,4,0,1,"thoáng trước, sau",0,0,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,không có,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,20/03/2025,4060000000,"3,823,853,377.64"
thanh xuân,khương đình,khương đình,,31,31,5,thóp hậu < 20% so với mặt tiền,xây < 5 năm,,nội thất cơ bản,0,4,3,6.29,6.3,5.09,1.5,0,50,100,150,1.5,4,1,0,chỉ có 1 mặt tiền,0,0,0,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,6/6/2025,6200000000,"6,227,039,247.80"
thanh xuân,khương đình,khương đình,,44,43.7,5,vuông,xây 5–10 năm,nhà khung cột,nội thất cơ bản,0,4,4,3.21,3.21,15,3.5,0,30,30,30,3,3,1,0,"thoáng trước, sau",0,0,1,0,0,0,phòng trọ,150000000,1,1,1,1,1,0,1,1,1,0,0,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,13/05/2025,8800000000,"8,743,053,447.04"
thanh xuân,khương đình,khương đình,,30,30,5,vuông,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,3,3,3.3,3.3,9,3,0,50,50,50,2,3,1,1,lô góc 3 mặt thoáng,2,3,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,11/5/2025,6100000000,"6,060,525,684.88"
thanh xuân,khương đình,khương đình,,36,30.4,5,nở hậu,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,5,3,4.24,4.3,7.06,1.5,0,120,120,120,2,3,1,1,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,15/08/2025,7200000000,"7,335,670,982.40"
thanh xuân,khương đình,khương đình,,30,30,5,vuông,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,2,3,3.1,3.1,9.6,2,0,150,150,150,2,3,0,1,lô góc 3 mặt thoáng,0.5,1,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,12/3/2025,5000000000,"4,709,179,036.50"
thanh xuân,khương đình,khương đình,,43,41,7,nở hậu,mới xây xong,nhà khung cột,nội thất cơ bản,1,11,11,3.25,3.3,12.8,2,0,50,50,50,2,3,0,0,"thoáng trước, sau",0,0,1,0,0,0,phòng trọ,720000000,1,1,1,1,1,0,1,1,1,0,0,100–300m,"xung quanh xây có căn cao tầng, có căn không",nhỏ,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,13/08/2025,12150000000,"12,378,944,782.80"
thanh xuân,khương đình,khương đình,,40,40,6,nở hậu,mới xây xong,nhà khung cột,nội thất cơ bản,1,3,4,5.15,5.2,8,2.5,0,100,100,100,2.5,3,0,1,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,31/05/2025,9580000000,"9,518,005,911.66"
thanh xuân,khương đình,khương đình,,44,44,3,nở hậu,xây < 5 năm,,nội thất cơ bản,0,5,3,4.6,4.6,9,1.5,0,120,120,120,1.5,4,0,0,lô góc 2 mặt thoáng,1,0,1,0,0,0,không,0,1,1,1,1,1,0,1,1,1,0,0,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,không sổ,100% đất thổ cư,không có,30/06/2025,3600000000,"3,615,700,208.40"
